PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Canonical URL,Canonical URL code,Referenced in sitemaps,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
18,https://www.aviva.com.br/agenda,Agenda (Shows e Eventos) | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/agenda/,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/residence-clubs,Residence Clubs | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/residence-clubs/,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/conheca-a-aviva,Sobre a Aviva | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,https://www.aviva.com.br/institucional/aviva,,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
18,https://www.aviva.com.br/clube-de-ferias,Clube de Férias | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/clube-de-ferias,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/ingresso-hot-park-com-almoco-e-outras-vantagens,Ingresso Hot Park com almoço e outras vantagens,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/ingresso-hot-park-com-almoco-e-outras-vantagens,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/descubra-o-que-nao-pode-levar-em-voo-nacional,Descubra o que não pode levar em voo nacional,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/descubra-o-que-nao-pode-levar-em-voo-nacional,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/confira-quais-sao-os-melhores-resorts-all-inclusive-do-brasil-aqui,Confira quais são os melhores resorts all inclusive do Brasil aqui!,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/confira-quais-sao-os-melhores-resorts-all-inclusive-do-brasil-aqui,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/as-10-principais-lendas-de-goias-misterios-nas-terras-goianas,As 10 Principais lendas de Goiás: mistérios nas terras goianas!,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/as-10-principais-lendas-de-goias-misterios-nas-terras-goianas,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/natal-na-pandemia-como-viajar-em-seguranca,Natal na pandemia: como viajar em segurança,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/natal-na-pandemia-como-viajar-em-seguranca,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
0,https://www.aviva.com.br/blog/o-que-e-check-out-de-hotel-tire-suas-duvidas,O que é check-out de hotel: tire suas dúvidas,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/o-que-e-check-out-de-hotel-tire-suas-duvidas,200,https://aviva.com.br/sitemap.xml,,1) Gerador de sitemap deve filtrar paginas cujo canonical != URL propria.,Sitemap,Media
